t [s];Velocidad [km/h];;;;;
696;13,84271061;;;;;
697;16,39257298;;;;;
698;18,51526517;;;;;
699;20,47730302;;;;;
700;22,51473382;;;;;
701;24,64337669;;;;;
702;26,78453992;;;;;
703;28,77130781;;;;;
704;30,06874232;;;;;
705;30,5547774;;;;;
706;30,34443744;;;;;
707;29,40722348;;;;;
708;27,78497716;;;;;
709;25,50235878;;;;;
710;22,77918826;;;;;
711;19,90760924;;;;;
712;17,10273294;;;;;
713;14,91682132;;;;;
714;13,78389455;;;;;
715;13,47854532;;;;;
716;13,79827013;;;;;
717;14,47136057;;;;;
718;15,35198576;;;;;
719;16,34344416;;;;;
720;17,40692481;;;;;
721;18,64193031;;;;;
722;20,15021164;;;;;
723;21,88890349;;;;;
724;23,78095267;;;;;
725;25,27783201;;;;;
726;25,82273179;;;;;
727;24,80706851;;;;;
728;21,87945907;;;;;
729;17,1653327;;;;;
730;11,51679629;;;;;
731;6,275417102;;;;;
732;2,437597841;;;;;
733;0;;;;;
734;0;;;;;
735;0;;;;;
736;0;;;;;
737;0;;;;;
738;0;;;;;
739;0;;;;;
740;0;;;;;
741;0;;;;;
742;0;;;;;
743;0;;;;;
744;0;;;;;
745;0;;;;;
746;0;;;;;
747;0;;;;;
748;0;;;;;
749;0;;;;;
750;0;;;;;
751;0;;;;;
752;0;;;;;
753;0;;;;;
754;0;;;;;
755;0;;;;;
756;0;;;;;
757;0;;;;;
758;0;;;;;
759;0;;;;;
760;0;;;;;
761;0;;;;;
762;0;;;;;
763;0;;;;;
764;0;;;;;
765;0;;;;;
766;0;;;;;
767;0;;;;;
768;0;;;;;
769;0;;;;;
770;2,675216414;;;;;
771;3,990586554;;;;;
772;5,17793013;;;;;
773;6,135344942;;;;;
774;6,86390434;;;;;
775;7,470113036;;;;;
776;8,135744197;;;;;
777;9,061344994;;;;;
778;10,38658169;;;;;
779;12,08880036;;;;;
780;14,14738546;;;;;
781;16,4303657;;;;;
782;18,73039568;;;;;
783;20,78703898;;;;;
784;22,32564573;;;;;
785;23,11515998;;;;;
786;23,01914747;;;;;
787;22,02203138;;;;;
788;20,23043481;;;;;
789;17,85407679;;;;;
790;15,16754351;;;;;
791;12,44900012;;;;;
792;9,914341168;;;;;
793;7,828562966;;;;;
794;6,105849226;;;;;
795;4,603004771;;;;;
